Drug Name,Drug Class,Hint 1 (Contraindications),Hint 2 (Adverse effects),Hint 3 (What symptom(s) and disease(s) drug is used to treat),"Hint 4 (what is the effect of this drug? (NOT MOA, but physical impact))",Hint 5 (what makes this drug unique from others in its class?),Hint 6 (MOA)
Bethanechol,Direct Muscarinic Agonists,"Avoid this drug in asthma, peptic ulcer disease, or urinary obstruction.","It can cause sweating, diarrhea, salivation, and slow heart rate.",It is used for urinary retention and poor bladder emptying after surgery.,It makes the bladder muscle squeeze and helps urine pass.,"It has poor lipid solubility, so it mainly acts outside the brain.","It directly stimulates muscarinic receptors, especially M3 receptors on smooth muscle."
Pilocarpine,Direct Muscarinic Agonists,Avoid this drug in uncontrolled asthma or narrow-angle glaucoma when used systemically.,"It can cause sweating, salivation, bronchospasm, and blurry vision.",It is used for glaucoma and dry mouth from Sjögren syndrome.,It increases gland secretions and helps fluid drain from the eye.,It can trigger pinpoint pupils during an eye exam.,"It directly stimulates muscarinic receptors, causing parasympathetic effects."
Carbachol,Direct Muscarinic Agonists,Avoid this drug in patients with severe asthma or active stomach ulcers.,"It can cause bronchospasm, diarrhea, sweating, and low blood pressure.",It is used mainly in the eye for glaucoma or to cause miosis.,It lowers eye pressure and makes the pupil constrict.,It can act at both muscarinic and nicotinic receptors.,"It directly stimulates cholinergic receptors, including muscarinic receptors in the eye."
Methacholine,Direct Muscarinic Agonists,Avoid this drug in patients with significant asthma or recent heart attack.,"It can cause wheezing, flushing, headache, and low blood pressure.",It is used as a bronchial challenge test to diagnose airway hyperreactivity.,It narrows the airways in people with reactive lungs.,It is mainly remembered as a diagnostic drug rather than a treatment drug.,It directly stimulates muscarinic receptors in bronchial smooth muscle.
Neostigmine,Acetylcholinesterase Inhibitors,Avoid this drug when the gut or urinary tract is mechanically blocked.,"It can cause diarrhea, salivation, slow heart rate, and muscle cramps.",It is used for myasthenia gravis and to reverse nondepolarizing neuromuscular blockers.,It increases muscle strength and improves bowel or bladder movement.,It does not cross the blood-brain barrier well because it is charged.,"It reversibly inhibits acetylcholinesterase, increasing acetylcholine at synapses."
Physostigmine,Acetylcholinesterase Inhibitors,"Avoid this drug in asthma, intestinal obstruction, or urinary obstruction.","It can cause seizures, slow heart rate, diarrhea, and excess secretions.","It is used to treat antimuscarinic toxicity, especially central toxicity.",It restores parasympathetic activity and improves confusion from anticholinergic poisoning.,It can enter the brain because it is a tertiary amine.,"It reversibly inhibits acetylcholinesterase, increasing acetylcholine in the body and brain."
Pyridostigmine,Acetylcholinesterase Inhibitors,Avoid this drug in mechanical bowel or urinary obstruction.,"It can cause abdominal cramps, diarrhea, sweating, and slow heart rate.",It is used for long-term treatment of myasthenia gravis.,It improves skeletal muscle strength for several hours.,It lasts longer than edrophonium and is used for maintenance therapy.,It reversibly inhibits acetylcholinesterase at the neuromuscular junction.
Edrophonium,Acetylcholinesterase Inhibitors,Avoid this drug in patients with significant bradycardia or asthma.,"It can cause fainting, bronchospasm, diarrhea, and increased secretions.",It was used as a short diagnostic test for myasthenia gravis.,It briefly improves muscle strength in myasthenic weakness.,It has a very short duration of action compared with similar drugs.,It reversibly inhibits acetylcholinesterase for a brief time.
Donepezil,Acetylcholinesterase Inhibitors,"Use caution in patients with slow heart rate, asthma, or stomach ulcers.","It can cause nausea, diarrhea, insomnia, muscle cramps, and slow heart rate.",It is used for symptoms of Alzheimer disease.,It can slightly improve memory and thinking symptoms.,It is commonly given once daily because it has a long half-life.,It reversibly inhibits acetylcholinesterase in the central nervous system.
Rivastigmine,Acetylcholinesterase Inhibitors,"Use caution in patients with asthma, ulcers, or conduction problems in the heart.","It can cause nausea, vomiting, diarrhea, dizziness, and weight loss.",It is used for Alzheimer disease and Parkinson disease dementia.,It may modestly improve cognition and daily function.,It is available as a transdermal patch to reduce stomach side effects.,It inhibits acetylcholinesterase and butyrylcholinesterase in the brain.
Galantamine,Acetylcholinesterase Inhibitors,"Use caution in patients with slow heart rate, asthma, or liver disease.","It can cause nausea, vomiting, diarrhea, dizziness, and loss of appetite.",It is used for mild to moderate Alzheimer disease.,It helps increase cholinergic signaling involved in memory.,It also modulates nicotinic receptors in addition to enzyme inhibition.,It reversibly inhibits acetylcholinesterase and enhances nicotinic receptor activity.
Atropine,Muscarinic Antagonists,Avoid this drug in narrow-angle glaucoma and prostatic urinary retention.,"It can cause dry mouth, blurry vision, constipation, fever, and confusion.","It is used for bradycardia, organophosphate poisoning, and anticholinesterase overdose.",It increases heart rate and dries secretions.,It is the classic antidote for muscarinic symptoms from cholinesterase inhibitor poisoning.,It competitively blocks muscarinic acetylcholine receptors.
Scopolamine,Muscarinic Antagonists,Avoid this drug in narrow-angle glaucoma or severe urinary retention.,"It can cause dry mouth, drowsiness, blurry vision, and confusion.",It is used to prevent motion sickness and postoperative nausea.,It reduces vestibular nausea signals and dries secretions.,It is often given as a patch placed behind the ear.,It competitively blocks muscarinic acetylcholine receptors in the vestibular system and brain.
Ipratropium,Muscarinic Antagonists,Avoid this drug in patients with allergy to atropine-like drugs.,"It can cause dry mouth, cough, and throat irritation.",It is used for COPD and sometimes asthma as an inhaled bronchodilator.,It opens the airways and reduces mucus secretion.,It is short acting and is often paired with a short-acting beta agonist.,"It blocks muscarinic receptors in the bronchi, especially M3 receptors."
Tiotropium,Muscarinic Antagonists,Avoid this drug in patients with severe hypersensitivity to anticholinergic inhalers.,"It can cause dry mouth, urinary retention, and worsening narrow-angle glaucoma if sprayed into the eyes.",It is used as long-term maintenance treatment for COPD.,It keeps the airways relaxed for a full day.,It is a long-acting inhaled antimuscarinic used once daily.,"It blocks muscarinic receptors in bronchial smooth muscle, especially M3 receptors."
Benztropine,Muscarinic Antagonists,Avoid this drug in narrow-angle glaucoma and significant urinary retention.,"It can cause dry mouth, constipation, confusion, and blurry vision.",It is used for Parkinson disease symptoms and drug-induced parkinsonism.,It reduces tremor and muscle stiffness.,It is especially useful for extrapyramidal symptoms caused by antipsychotics.,It blocks muscarinic receptors in the central nervous system.
Trihexyphenidyl,Muscarinic Antagonists,Avoid this drug in narrow-angle glaucoma or bladder outlet obstruction.,"It can cause dry mouth, constipation, blurred vision, and confusion.",It is used for Parkinson disease tremor and dystonia from antipsychotics.,It decreases abnormal cholinergic activity that contributes to tremor.,It is an older central anticholinergic used mainly for movement side effects.,It blocks central muscarinic acetylcholine receptors.
Glycopyrrolate,Muscarinic Antagonists,Avoid this drug in significant urinary obstruction or severe ulcerative colitis.,"It can cause dry mouth, constipation, urinary retention, and thick secretions.",It is used to reduce secretions before surgery and to prevent vagal slowing of the heart.,It dries saliva and airway secretions without much brain effect.,"It is charged, so it poorly enters the central nervous system.",It competitively blocks muscarinic acetylcholine receptors outside the brain.
Oxybutynin,Muscarinic Antagonists,"Avoid this drug in gastric retention, uncontrolled narrow-angle glaucoma, or urinary retention.","It can cause dry mouth, constipation, blurry vision, and heat intolerance.",It is used for overactive bladder and urge incontinence.,It relaxes the bladder and decreases sudden urges to urinate.,It is more likely than some newer agents to cause dry mouth.,"It blocks muscarinic receptors in bladder smooth muscle, especially M3 receptors."
Tolterodine,Muscarinic Antagonists,"Avoid this drug in urinary retention, gastric retention, or uncontrolled narrow-angle glaucoma.","It can cause dry mouth, constipation, headache, and blurry vision.",It is used for overactive bladder with urgency and frequency.,It decreases bladder contractions and urinary urgency.,It was designed to be more bladder selective than older antimuscarinics.,It blocks muscarinic receptors in the bladder.
Homatropine/Tropicamide,Muscarinic Antagonists,Avoid these drugs in narrow-angle glaucoma unless used under eye-care supervision.,"They can cause light sensitivity, blurry vision, and increased eye pressure.",They are used to dilate the pupil during eye exams.,They cause pupil dilation and cycloplegia.,They are short-acting eye drops used mainly for examination.,They block muscarinic receptors in the iris sphincter and ciliary muscle.
Dicyclomine,Muscarinic Antagonists,"Avoid this drug in glaucoma, urinary obstruction, or severe ulcerative colitis.","It can cause dry mouth, dizziness, constipation, and blurry vision.",It is used for abdominal cramps in irritable bowel syndrome.,It relaxes intestinal smooth muscle and reduces spasms.,It is mainly used for gastrointestinal antispasmodic effects.,It blocks muscarinic receptors in the gastrointestinal tract.
Hyoscyamine,Muscarinic Antagonists,"Avoid this drug in glaucoma, obstructive uropathy, or myasthenia gravis.","It can cause dry mouth, constipation, blurry vision, and drowsiness.",It is used for intestinal cramps and bladder spasms.,It decreases smooth muscle spasms and secretions.,It is a natural belladonna alkaloid related to atropine.,It competitively blocks muscarinic acetylcholine receptors.
Succinylcholine,Nicotinic Antagonists,"Avoid this drug in patients with major burns, crush injuries, or severe hyperkalemia risk.","It can cause malignant hyperthermia, high potassium, muscle pain, and apnea.",It is used for rapid sequence intubation and short procedures needing paralysis.,It causes brief muscle twitching followed by flaccid paralysis.,It is the only commonly tested depolarizing neuromuscular blocker.,"It persistently activates nicotinic receptors at the neuromuscular junction, causing depolarizing blockade."
Rocuronium,Nicotinic Antagonists,Use caution in patients with severe liver disease or prolonged paralysis risk.,It can cause prolonged weakness and rarely allergic reactions.,It is used to create skeletal muscle paralysis during surgery or intubation.,It produces rapid paralysis without causing initial muscle fasciculations.,It can be quickly reversed by sugammadex.,It competitively blocks nicotinic acetylcholine receptors at the neuromuscular junction.
Epinephrine,Mixed α/β Agonists,Use caution in patients with serious tachyarrhythmias or severe hypertension.,"It can cause palpitations, tremor, anxiety, headache, and high blood pressure.","It is used for anaphylaxis, cardiac arrest, and severe asthma exacerbations.","It raises heart rate, raises blood pressure, and opens the airways.",It is the first-line emergency drug for anaphylaxis.,"It stimulates alpha-1, alpha-2, beta-1, and beta-2 adrenergic receptors."
Norepinephrine,Mixed α/β Agonists,Use caution in patients with severe peripheral vascular disease or mesenteric thrombosis.,"It can cause tissue ischemia, high blood pressure, reflex bradycardia, and arrhythmias.",It is used for septic shock and severe hypotension.,It strongly raises blood pressure by tightening blood vessels.,It is a preferred vasopressor in septic shock.,"It stimulates alpha-1, alpha-2, and beta-1 adrenergic receptors with little beta-2 effect."
Dopamine,Dopamine Receptor Agonists,Use caution in patients with tachyarrhythmias or pheochromocytoma.,"It can cause nausea, headache, arrhythmias, and limb ischemia at high doses.",It is used for shock with low blood pressure or low cardiac output.,It increases kidney blood flow at low doses and raises cardiac output at moderate doses.,Its receptor effects change as the dose increases.,"It stimulates dopamine receptors at low doses, beta-1 receptors at moderate doses, and alpha-1 receptors at high doses."
Dobutamine,β1-Selective Agonists,Use caution in patients with atrial fibrillation or severe tachyarrhythmias.,"It can cause tachycardia, palpitations, headache, and increased oxygen demand.",It is used for acute heart failure and cardiogenic shock.,It increases the force of heart contraction with less effect on blood pressure than many pressors.,It is often used as an inotrope during stress echocardiography.,It primarily stimulates beta-1 adrenergic receptors in the heart.
