Name,Class,Subclass,System(s),"Hint 1: Physical Exam finding in patients (ex: beefy-red, painless ulcerative lesions that bleed very easily when touched).
","Hint 2: congenital impact(s) (if applicable) OR more possible physical exam findings. If it is a bug with multiple different presentations, make sure to specify (ex: C. preferinges can cause diarrhea OR skin necrosis in different contexts).  
","Hint 3: Lab findings (fever, elevated eosinophilia, etc.)
","Hint 4: Treatment “This bug is treated with ___ and ____”
","Hint 5: Disease(s) it can cause
","Hint 6: Morphology (RNA+ virus, dsDNA virus, gram positive, intracellular bacteria, cestode (tapeworm), fungi, etc.)"
Staphylococcus aureus,bacteria,gram positive cocci in clusters,"Musculoskeletal, Skin & Subcutaneous Tissue; Cardiovascular; Respiratory; Gastrointestinal; Blood & Lymphoreticular/Immune Systems",Painful purulent skin abscesses,"Honey-crusted lesions, scalded-skin findings, or tampon/wound-associated shock","Catalase positive, coagulase positive, beta-hemolytic",Treated with oxacillin/nafcillin; MRSA with vancomycin or linezolid,"Acute endocarditis, osteomyelitis, pneumonia, food poisoning",Gram-positive cocci in clusters
Staphylococcus epidermidis,bacteria,gram positive cocci in clusters,"Cardiovascular; Musculoskeletal, Skin & Subcutaneous Tissue; Blood & Lymphoreticular/Immune Systems",Infection around prosthetic material or IV catheters,Biofilm-associated foreign body infection,"Catalase positive, coagulase negative, novobiocin sensitive",Treated with oxacillin/nafcillin if susceptible; vancomycin if resistant,"Prosthetic valve infection, catheter infection, prosthetic joint infection",Gram-positive cocci in clusters
Streptococcus pyogenes,bacteria,gram positive cocci in chains,"Musculoskeletal, Skin & Subcutaneous Tissue; Respiratory; Renal/Urinary; Cardiovascular",Sore throat with fever and tonsillar exudates,"Honey-crusted skin lesions, rapidly progressive soft-tissue necrosis, or sandpaper rash","Catalase negative, beta-hemolytic, bacitracin sensitive, ASO may be elevated",Treated with penicillin; macrolide if allergic,"Pharyngitis, cellulitis, rheumatic fever, postinfectious glomerular disease",Gram-positive cocci in chains
Streptococcus pneumoniae,bacteria,gram positive lancet-shaped diplococci,Respiratory; Nervous System; Blood & Lymphoreticular/Immune Systems,Cough with rusty-colored sputum,"Otitis media, sinusitis, or meningeal irritation","Alpha-hemolytic, optochin sensitive, bile soluble",Treated with penicillin or ceftriaxone; add vancomycin for severe meningitis concern,"Lobar pneumonia, meningitis, otitis media, sinusitis",Gram-positive lancet-shaped diplococci
Streptococcus agalactiae,bacteria,gram positive cocci in chains,Reproductive; Nervous System; Respiratory; Blood & Lymphoreticular/Immune Systems,"Newborn with sepsis, pneumonia, or meningitis",Maternal genital/GI colonization can affect neonates,"Beta-hemolytic, CAMP positive, bacitracin resistant",Treated with penicillin or ampicillin,"Neonatal sepsis, neonatal pneumonia, neonatal meningitis",Gram-positive cocci in chains
Enterococcus,bacteria,gram positive cocci in chains,Renal/Urinary; Gastrointestinal; Cardiovascular,Catheter-associated urinary symptoms,Infection after GI/GU procedures; can involve heart valves,Grows in bile and 6.5% NaCl; PYR positive,Treated with ampicillin or vancomycin; resistant strains with linezolid or daptomycin,"UTI, cholecystitis, subacute endocarditis",Gram-positive cocci in chains
Neisseria gonorrhoeae,bacteria,gram negative diplococci,"Reproductive; Musculoskeletal, Skin & Subcutaneous Tissue",Purulent urethral or cervical discharge,"Migratory polyarthralgia, tenosynovitis, or septic arthritis",Intracellular diplococci in neutrophils; oxidase positive,Treated with ceftriaxone plus doxycycline if coinfection not excluded,"Urethritis, cervicitis, PID, disseminated joint infection",Gram-negative diplococci
Neisseria meningitidis,bacteria,gram negative diplococci,"Nervous System; Blood & Lymphoreticular/Immune Systems; Musculoskeletal, Skin & Subcutaneous Tissue","Fever, neck stiffness, and petechial rash",Adrenal hemorrhage with shock can occur,CSF neutrophilia; oxidase positive; encapsulated,Treated with ceftriaxone,"Meningitis, meningococcemia, fulminant septic shock",Gram-negative diplococci
Escherichia coli,bacteria,gram negative lactose-fermenting rod,Renal/Urinary; Gastrointestinal; Nervous System; Blood & Lymphoreticular/Immune Systems,"Dysuria, frequency, and suprapubic pain","Watery traveler’s diarrhea, bloody diarrhea, or neonatal meningitis depending on subtype",Lactose fermenter; pink MacConkey colonies; metallic green EMB colonies,Treated with TMP-SMX or ciprofloxacin for many infections; avoid antibiotics in suspected Shiga-toxin colitis,"UTI, pyelonephritis, neonatal meningitis, diarrheal illness",Gram-negative lactose-fermenting rod
Salmonella,bacteria,gram negative non-lactose-fermenting rod,"Gastrointestinal; Blood & Lymphoreticular/Immune Systems; Musculoskeletal, Skin & Subcutaneous Tissue","Diarrhea after poultry, egg, reptile, or animal-product exposure",Can cause osteomyelitis in sickle cell disease,"Non-lactose fermenter, H2S producer, motile","Severe cases treated with ceftriaxone, azithromycin, or ciprofloxacin","Gastroenteritis, enteric fever, reactive arthritis, osteomyelitis",Gram-negative non-lactose-fermenting rod
Shigella,bacteria,gram negative non-lactose-fermenting rod,Gastrointestinal; Renal/Urinary; Nervous System,"Fever, abdominal cramps, and bloody diarrhea",Very low infectious dose; spreads person-to-person,Non-lactose fermenter; Shiga toxin may be present,Treated with ciprofloxacin or ceftriaxone when antibiotics are indicated,"Bacillary dysentery, HUS, reactive arthritis",Gram-negative non-lactose-fermenting rod
Campylobacter,bacteria,gram negative curved rod,"Gastrointestinal; Nervous System; Musculoskeletal, Skin & Subcutaneous Tissue",Bloody diarrhea after undercooked poultry or unpasteurized milk,Can precede ascending weakness or reactive arthritis,"Curved rod, oxidase positive, grows best at 37–42°C",Treated supportively; severe cases with azithromycin or erythromycin,"Enterocolitis, postinfectious neuropathy, reactive arthritis",Gram-negative curved rod
Vibrio cholerae,bacteria,gram negative comma-shaped rod,Gastrointestinal,Profuse watery “rice-water” diarrhea,Severe dehydration with minimal intestinal inflammation,Oxidase positive; grows in alkaline media,Treated with aggressive rehydration plus doxycycline or azithromycin,Secretory diarrheal illness with hypovolemia,Gram-negative comma-shaped rod
Helicobacter pylori,bacteria,gram negative curved urease-positive rod,Gastrointestinal; Blood & Lymphoreticular/Immune Systems,Burning epigastric pain related to meals,Long-term infection increases gastric malignancy risk,"Urease positive, oxidase positive, catalase positive",Treated with PPI-based bismuth quadruple therapy,"Chronic gastritis, peptic ulcer disease, gastric adenocarcinoma, MALT lymphoma",Gram-negative curved urease-positive rod
Pseudomonas aeruginosa,bacteria,gram negative oxidase-positive rod,"Respiratory; Musculoskeletal, Skin & Subcutaneous Tissue; Renal/Urinary; Nervous System; Blood & Lymphoreticular/Immune Systems",Blue-green wound drainage with sweet/fruity odor,"Hot-tub folliculitis, contact-lens keratitis, or burn-wound infection","Oxidase positive, catalase positive, non-lactose fermenter","Treated with piperacillin-tazobactam, cefepime, ceftazidime, ciprofloxacin, or related antipseudomonal therapy","Pneumonia, UTI, sepsis, malignant otitis externa, ecthyma gangrenosum",Gram-negative oxidase-positive rod
Bordetella pertussis,bacteria,gram negative coccobacillus,Respiratory,Paroxysmal cough with inspiratory whoop and posttussive emesis,Apnea may be prominent in infants,Marked lymphocytosis,Treated with azithromycin or another macrolide,Whooping cough syndrome,Gram-negative coccobacillus
Haemophilus influenzae,bacteria,gram negative coccobacillus,"Respiratory; Nervous System; Blood & Lymphoreticular/Immune Systems; Musculoskeletal, Skin & Subcutaneous Tissue","Fever, drooling, and tripod positioning","Otitis media, sinusitis, pneumonia, or meningitis in unvaccinated patients",Requires factors V and X; grows on chocolate agar,Treated with ceftriaxone for invasive disease,"Epiglottitis, meningitis, otitis media, pneumonia",Gram-negative coccobacillus
Haemophilus ducreyi,bacteria,gram negative coccobacillus,"Reproductive; Musculoskeletal, Skin & Subcutaneous Tissue",Painful genital ulcer with ragged edges,Tender suppurative inguinal lymphadenopathy,Small gram-negative coccobacilli may form “school of fish” pattern,Treated with azithromycin or ceftriaxone,Painful ulcerative STI with buboes,Gram-negative coccobacillus
Legionella pneumophila,bacteria,gram negative intracellular rod,Respiratory; Gastrointestinal; Nervous System; Renal/Urinary,Atypical pneumonia with cough and systemic symptoms,"Diarrhea, confusion, and water-aerosol exposure are clues",Hyponatremia; grows on charcoal yeast extract with cysteine and iron,Treated with levofloxacin or azithromycin,Severe atypical pneumonia; self-limited febrile illness,Gram-negative intracellular rod
Mycoplasma pneumoniae,bacteria,cell wall-deficient atypical bacteria,"Respiratory; Blood & Lymphoreticular/Immune Systems; Musculoskeletal, Skin & Subcutaneous Tissue",Gradual dry cough with “walking pneumonia” presentation,Bullous myringitis or cold-agglutinin hemolysis,Lacks cell wall; “fried egg” colonies on Eaton agar,"Treated with azithromycin, doxycycline, or levofloxacin",Atypical pneumonia,Cell wall-deficient atypical bacteria
Chlamydia trachomatis,bacteria,obligate intracellular atypical bacteria,"Reproductive; Respiratory; Musculoskeletal, Skin & Subcutaneous Tissue",Mucopurulent cervicitis or urethritis,Neonatal conjunctivitis or afebrile pneumonia after delivery exposure,Obligate intracellular; NAAT commonly used,Treated with doxycycline; add ceftriaxone when gonorrheal coinfection is possible,"Cervicitis, urethritis, PID, neonatal eye/lung infection",Obligate intracellular atypical bacteria
Treponema pallidum,bacteria,spirochete,"Reproductive; Nervous System; Cardiovascular; Musculoskeletal, Skin & Subcutaneous Tissue",Painless genital chancre,Later rash can involve palms and soles; congenital cases can affect bone/teeth/nose,Nontreponemal screening and treponemal confirmation,Treated with penicillin G,Syphilis,Spirochete
Borrelia burgdorferi,bacteria,spirochete,"Musculoskeletal, Skin & Subcutaneous Tissue; Nervous System; Cardiovascular",Expanding annular rash after tick exposure,"Facial palsy, arthritis, or AV block may occur",Serology with two-step testing when indicated,Treated with doxycycline; ceftriaxone for severe neurologic/cardiac disease,Lyme disease,Spirochete
Leptospira interrogans,bacteria,spirochete,Renal/Urinary; Gastrointestinal; Nervous System,Conjunctival suffusion with fever and myalgias,"Severe disease may cause jaundice, renal injury, and hemorrhage",Thin spirochete; serology/PCR may be used,Treated with doxycycline or penicillin,Weil syndrome; febrile zoonotic illness,Spirochete
Clostridium difficile,bacteria,gram positive anaerobic spore-forming rod,Gastrointestinal,Watery diarrhea after antibiotic exposure,Severe cases can cause toxic megacolon,Stool toxin positive; pseudomembranes may be seen,Treated with oral vancomycin or fidaxomicin,Antibiotic-associated colitis,Gram-positive anaerobic spore-forming rod
Clostridium botulinum,bacteria,gram positive anaerobic spore-forming rod,Nervous System; Gastrointestinal,Descending symmetric flaccid paralysis,Infant cases may present with constipation and poor feeding,Toxin detection supports diagnosis,Treated with antitoxin and supportive care,Flaccid paralysis syndrome from toxin-mediated ACh blockade,Gram-positive anaerobic spore-forming rod
Clostridium tetani,bacteria,gram positive anaerobic spore-forming rod,Nervous System,Lockjaw with painful muscle spasms,Opisthotonos and autonomic instability may occur,Diagnosis is clinical,Treated with immune globulin plus metronidazole and wound care,Spastic paralysis syndrome from toxin-mediated loss of inhibition,Gram-positive anaerobic spore-forming rod
Bacillus anthracis,bacteria,gram positive aerobic spore-forming rod,"Respiratory; Musculoskeletal, Skin & Subcutaneous Tissue; Gastrointestinal; Blood & Lymphoreticular/Immune Systems",Painless black eschar with surrounding edema,Inhalational disease can cause widened mediastinum and shock,Large boxcar-shaped rods; toxin-mediated edema and necrosis,Treated with ciprofloxacin plus additional agents/antitoxin in severe disease,"Cutaneous black-eschar illness, inhalational mediastinitis, GI disease",Gram-positive aerobic spore-forming rod
